Date,Hour,Load,Temp,Day,Time
21,6,9.375,28.3,Weekday,Day
21,7,27.125,28.3,Weekday,Day
21,8,46,28.3,Weekday,Day
21,9,55,29.3,Weekday,Day
21,10,58.75,30.2,Weekday,Day
21,11,51.25,32.1,Weekday,Day
21,12,52.75,33,Weekday,Day
21,13,59.75,33,Weekday,Day
21,14,49.625,34,Weekday,Day
21,15,48.625,34,Weekday,Day
21,16,48.8125,34,Weekday,Day
21,17,34,34,Weekday,Day
21,18,25.4375,33,Weekday,Night
21,19,13,32.1,Weekday,Night
21,20,10,30.2,Weekday,Night
21,21,13.75,30.2,Weekday,Night
21,22,11,30.2,Weekday,Night
21,23,10.375,29.3,Weekday,Night
21,24,8.25,29.3,Weekday,Night
22,1,7.75,28.1,Weekday,Night
22,2,9.375,28.1,Weekday,Night
22,3,6.5625,28.1,Weekday,Night
22,4,5.9375,28.1,Weekday,Night
22,5,5.9375,28.1,Weekday,Day
22,6,24.8125,28.1,Weekday,Day
22,7,37.0625,28.1,Weekday,Day
22,8,65.8125,28.1,Weekday,Day
22,9,67.5,29.1,Weekday,Day
22,10,71.5625,30,Weekday,Day
22,11,65.75,31.9,Weekday,Day
22,12,69.125,32.8,Weekday,Day
22,13,78.1875,32.8,Weekday,Day
22,14,72.75,33.8,Weekday,Day
22,15,60.375,33.8,Weekday,Day
22,16,42.9375,33.8,Weekday,Day
22,17,34.9375,33.8,Weekday,Day
22,18,18.3125,32.8,Weekday,Night
22,19,8.8125,31.9,Weekday,Night
22,20,6.25,30,Weekday,Night
22,21,8.375,30,Weekday,Night
22,22,8.125,30,Weekday,Night
22,23,8.25,29.1,Weekday,Night
22,24,8.125,29.1,Weekday,Night
23,1,7.75,27.9,Weekend,Night
23,2,7.1875,27.9,Weekend,Night
23,3,8.6875,27.9,Weekend,Night
23,4,6.5,27.9,Weekend,Night
23,5,6.5,27.9,Weekend,Day
23,6,4.75,27.9,Weekend,Day
23,7,6.375,27.9,Weekend,Day
23,8,4.75,27.9,Weekend,Day
23,9,3.75,28.8,Weekend,Day
23,10,3,29.7,Weekend,Day
23,11,1.75,31.6,Weekend,Day
23,12,-1.8125,32.5,Weekend,Day
23,13,1.125,32.5,Weekend,Day
23,14,1.1875,33.4,Weekend,Day
23,15,5.625,33.4,Weekend,Day
23,16,10.375,33.4,Weekend,Day
23,17,10.25,33.4,Weekend,Day
23,18,12.1875,32.5,Weekend,Night
23,19,7.9375,31.6,Weekend,Night
23,20,6.875,29.7,Weekend,Night
23,21,7.8125,29.7,Weekend,Night
23,22,8.4375,29.7,Weekend,Night
23,23,9.75,28.8,Weekend,Night
23,24,9.125,28.8,Weekend,Night
24,1,8,23,Weekend,Night
24,2,8,23,Weekend,Night
24,3,8,23,Weekend,Night
24,4,7.5,23,Weekend,Night
24,5,7.625,23,Weekend,Day
24,6,5.125,23,Weekend,Day
24,7,4.125,23,Weekend,Day
24,8,4.1875,23,Weekend,Day
24,9,4.6875,23.7,Weekend,Day
24,10,7.6875,24.5,Weekend,Day
24,11,5.3125,26,Weekend,Day
24,12,3.1875,26.8,Weekend,Day
24,13,4.125,26.8,Weekend,Day
24,14,1.8125,27.5,Weekend,Day
24,15,10.375,27.5,Weekend,Day
24,16,9.75,27.5,Weekend,Day
24,17,8.375,27.5,Weekend,Day
24,18,8.875,26.8,Weekend,Night
24,19,7.25,26,Weekend,Night
24,20,7.75,24.5,Weekend,Night
24,21,4.875,24.5,Weekend,Night
24,22,4.9375,24.5,Weekend,Night
24,23,5.0625,23.7,Weekend,Night
24,24,4.75,23.7,Weekend,Night
25,1,5.75,16.9,Weekday,Night
25,2,5.125,16.9,Weekday,Night
25,3,4.125,16.9,Weekday,Night
25,4,3.75,16.9,Weekday,Night
25,5,4.1875,16.9,Weekday,Day
25,6,9.6875,16.9,Weekday,Day
25,7,12.75,16.9,Weekday,Day
25,8,22.3125,16.9,Weekday,Day
25,9,31.0625,17.5,Weekday,Day
25,10,37.625,18.1,Weekday,Day
25,11,36.125,19.2,Weekday,Day
25,12,29.5,19.8,Weekday,Day
25,13,37.625,19.8,Weekday,Day
25,14,39.9375,20.3,Weekday,Day
25,15,44.9375,20.3,Weekday,Day
25,16,35.125,20.3,Weekday,Day
25,17,26.4375,20.3,Weekday,Day
25,18,24.5625,19.8,Weekday,Night
25,19,22.75,19.2,Weekday,Night
25,20,14.25,18.1,Weekday,Night
25,21,5.1875,18.1,Weekday,Night
25,22,4.3125,18.1,Weekday,Night
25,23,5.125,17.5,Weekday,Night
25,24,5.125,17.5,Weekday,Night
26,1,4.875,19.2,Weekday,Night
26,2,4.875,19.2,Weekday,Night
26,3,4.5625,19.2,Weekday,Night
26,4,4.5,19.2,Weekday,Night
26,5,4.9375,19.2,Weekday,Day
